# fluera-phrases v2 lang=en built=2026-05-20 sha256=fbbf5185bf722d7d63a39380eefa36f18f85fc8cd2fa8be74a72cc4610c38621 rows=15501
phrase	domains	kind
adenosine diphosphate glucose	med	medical
adenosine diphosphate ribose	med	medical
adenosine diphosphate sugars	med	medical
adenosine kinase	med	medical
adenosine monophosphate	med	medical
adenosine phosphosulfate	med	medical
adenosine triphosphatases	med	medical
adenosine triphosphate	med	medical
adenosquamous carcinoma	med	medical
adenosylmethionine decarboxylase	med	medical
adenoviridae infections	med	medical
adenovirus early proteins	med	medical
adenovirus vaccines	med	medical
adenylate cyclase toxin	med	medical
adenylate kinase	med	medical
adenylosuccinate lyase	med	medical
adenylosuccinate synthase	med	medical
adenylyl cyclase inhibitors	med	medical
adenylyl cyclases	med	medical
adenylyl imidodiphosphate	med	medical
adherence interventions	med	medical
adherens junctions	med	medical
adie syndrome	med	medical
adipokine receptors	med	medical
adiponectin receptors	med	medical
adipose tissue	med	medical
adipose tissue neoplasms	med	medical
adiposis dolorosa	med	medical
adjustment disorders	med	medical
adjuvant chemoradiotherapy	med	medical
adjuvant chemotherapy	med	medical
adjuvant radiotherapy	med	medical
administrative law judge	law	legal
administrative personnel	med	medical
adnexa uteri	med	medical
adnexal diseases	med	medical
adolescent behavior	med	medical
adolescent development	med	medical
adolescent fathers	med	medical
adolescent health	med	medical
adolescent health services	med	medical
adolescent medicine	med	medical
adolescent mothers	med	medical
adolescent nutritional physiological phenomena	med	medical
adolescent psychiatry	med	medical
adolescent psychology	med	medical
adopted child	med	medical
adoptive immunotherapy	med	medical
adoptive transfer	med	medical
adp ribose transferases	med	medical
adrenal cortex	med	medical
adrenal cortex diseases	med	medical
adrenal cortex function tests	med	medical
adrenal cortex hormones	med	medical
adrenal cortex neoplasms	med	medical
adrenal gland diseases	med	medical
adrenal gland neoplasms	med	medical
adrenal glands	med	medical
adrenal insufficiency	med	medical
adrenal medulla	med	medical
adrenal rest tumor	med	medical
adrenergic agents	med	medical
adrenergic agonists	med	medical
adrenergic antagonists	med	medical
adrenergic fibers	med	medical
adrenergic neurons	med	medical
adrenergic receptors	med	medical
adrenergic uptake inhibitors	med	medical
adrenocortical adenoma	med	medical
adrenocortical carcinoma	med	medical
adrenocortical hyperfunction	med	medical
adrenocorticotropic hormone	med	medical
adrenogenital syndrome	med	medical
adrenomedullin receptors	med	medical
adult children	med	medical
adult day care centers	med	medical
adult diapers	med	medical
adult germline stem cells	med	medical
adult stem cells	med	medical
advance care planning	med	medical
advance directive adherence	med	medical
advance directives	med	medical
advanced cardiac life support	med	medical
advanced glycation end products	med	medical
advanced maternal age	med	medical
advanced oxidation protein products	med	medical
advanced practice nursing	med	medical
adversary proceeding	law	legal
adverse childhood experiences	med	medical
adverse outcome pathways	med	medical
advisory committees	med	medical
aerial plant components	med	medical
aerobic bacteria	med	medical
aeromonas caviae	med	medical
aeromonas hydrophila	med	medical
aeromonas salmonicida	med	medical
aeromonas veronii	med	medical
aerosol propellants	med	medical
aerosolized particles and droplets	med	medical
aerospace medicine	med	medical
affective symptoms	med	medical
afferent loop syndrome	med	medical
afferent neurons	med	medical
afferent pathways	med	medical
affinity chromatography	med	medical
affinity labels	med	medical
aflatoxin poisoning	med	medical
african horse sickness	med	medical
african horse sickness virus	med	medical
african people	med	medical
african swine fever	med	medical
african swine fever virus	med	medical
african traditional medicine	med	medical
african trypanosomiasis	med	medical
african union	med	medical
agammaglobulinaemia tyrosine kinase	med	medical
agar gel electrophoresis	med	medical
agarose chromatography	med	medical
age determination by skeleton	med	medical
age determination by teeth	med	medical
age distribution	med	medical
age factors	med	medical
age groups	med	medical
age of onset	med	medical
agenesis of corpus callosum	med	medical
agent orange	med	medical
agglutination tests	med	medical
aggregatibacter actinomycetemcomitans	med	medical
aggregatibacter aphrophilus	med	medical
aggregatibacter segnis	med	medical
aggressive driving	med	medical
aggressive periodontitis	med	medical
aging in place	med	medical
agonistic behavior	med	medical
