# fluera-phrases v2 lang=en built=2026-05-20 sha256=fbbf5185bf722d7d63a39380eefa36f18f85fc8cd2fa8be74a72cc4610c38621 rows=15501
phrase	domains	kind
drug implants	med	medical
drug incompatibility	med	medical
drug industry	med	medical
drug information services	med	medical
drug instillation	med	medical
drug interactions	med	medical
drug inverse agonism	med	medical
drug labeling	med	medical
drug legislation	med	medical
drug liberation	med	medical
drug misuse	med	medical
drug monitoring	med	medical
drug overdose	med	medical
drug packaging	med	medical
drug partial agonism	med	medical
drug prescriptions	med	medical
drug pulse therapy	med	medical
drug recalls	med	medical
drug receptors	med	medical
drug repositioning	med	medical
drug residues	med	medical
drug resistance	med	medical
drug resistance multiple bacterial	med	medical
drug resistance multiple fungal	med	medical
drug resistance multiple viral	med	medical
drug resistant epilepsy	med	medical
drug stability	med	medical
drug storage	med	medical
drug substitution	med	medical
drug synergism	med	medical
drug tapering	med	medical
drug therapeutic index	med	medical
drug therapy	med	medical
drug tolerance	med	medical
drug trafficking	med	medical
drug users	med	medical
drug utilization	med	medical
drug utilization review	med	medical
dry eye syndromes	med	medical
dry ice	med	medical
dry needling	med	medical
dry powder inhalers	med	medical
dry socket	med	medical
dual medicaid medicare eligibility	med	medical
dual oxidases	med	medical
dual use research	med	medical
duane retraction syndrome	med	medical
duchenne muscular dystrophy	med	medical
duck hepatitis virus	med	medical
ductal carcinoma	med	medical
ductus arteriosus	med	medical
due process	law	legal
duloxetine hydrochloride	med	medical
dumping syndrome	med	medical
duodenal diseases	med	medical
duodenal neoplasms	med	medical
duodenal obstruction	med	medical
duodenal ulcer	med	medical
duodenogastric reflux	med	medical
duplicate genes	med	medical
duplicate publication	med	medical
duplicate publications as topic	med	medical
dupuytren contracture	med	medical
dura mater	med	medical
durable medical equipment	med	medical
duration of therapy	med	medical
dust mite allergy	med	medical
duty to recontact	med	medical
duty to warn	med	medical
dye dilution technique	med	medical
dye lasers	med	medical
dynactin complex	med	medical
dynamic light scattering	med	medical
dynamic programming	med	medical
dynamin ii	med	medical
dynamin iii	med	medical
dyrk kinases	med	medical
dyshidrotic eczema	med	medical
dyskeratosis congenita	med	medical
dysplastic nevus syndrome	med	medical
dysthymic disorder	med	medical
dystonia musculorum deformans	med	medical
dystonic disorders	med	medical
ear acupuncture	med	medical
ear auricle	med	medical
ear canal	med	medical
ear cartilage	med	medical
ear diseases	med	medical
ear neoplasms	med	medical
ear ossicles	med	medical
ear oval window	med	medical
ear protective devices	med	medical
ear round window	med	medical
earless seals	med	medical
early ambulation	med	medical
early detection of cancer	med	medical
early diagnosis	med	medical
early medical intervention	med	medical
early warning score	med	medical
earth sciences	med	medical
east african people	med	medical
east asian people	med	medical
east asian traditional medicine	med	medical
east coast sea nettle	med	medical
east germany	med	medical
eastern africa	med	medical
eastern asia	med	medical
eastern equine encephalitis virus	med	medical
eastern equine encephalomyelitis	med	medical
eastern europe	med	medical
eastern european people	med	medical
eastern orthodoxy	med	medical
ebola hemorrhagic fever	med	medical
ebola vaccines	med	medical
ebstein anomaly	med	medical
eccrine glands	med	medical
eccrine porocarcinoma	med	medical
echinococcus granulosus	med	medical
echinococcus multilocularis	med	medical
echinops plant	med	medical
echocardiography doppler color	med	medical
echocardiography doppler pulsed	med	medical
echogenic bowel	med	medical
echothiophate iodide	med	medical
echovirus infections	med	medical
ecological and environmental phenomena	med	medical
ecological momentary assessment	med	medical
ecological parameter monitoring	med	medical
econometric models	med	medical
economic competition	med	medical
economic development	med	medical
economic factors	med	medical
economic inflation	med	medical
economic models	med	medical
economic recession	med	medical
economic stability	med	medical
economic status	med	medical
ectodermal dysplasia	med	medical
ectodermal placodes	med	medical
ectodysplasin receptors	med	medical
ectoparasitic infestations	med	medical
ectopia cordis	med	medical
ectopia lentis	med	medical
ectopic acth syndrome	med	medical
ectopic atrial tachycardia	med	medical
ectopic gene expression	med	medical
ectopic hormones	med	medical
ectopic junctional tachycardia	med	medical
ectopic pregnancy	med	medical
ectopic tooth eruption	med	medical
ectothiorhodospira shaposhnikovii	med	medical
ectromelia virus	med	medical
eczematous skin diseases	med	medical
edar receptor	med	medical
edema disease of swine	med	medical
edentulous jaw	med	medical
edentulous mouth	med	medical
edetic acid	med	medical
edible films	med	medical
edible grain	med	medical
edible insects	med	medical
edible plants	med	medical
edible seaweeds	med	medical
edible vaccines	med	medical
editorial policies	med	medical
education dental continuing	med	medical
education dental graduate	med	medical
education mainstreaming	med	medical
education medical continuing	med	medical
education medical graduate	med	medical
education medical undergraduate	med	medical
education nursing associate	med	medical
education nursing baccalaureate	med	medical
education nursing continuing	med	medical
education nursing diploma programs	med	medical
education nursing graduate	med	medical
education pharmacy continuing	med	medical
education pharmacy graduate	med	medical
education professional retraining	med	medical
educational early intervention	med	medical
educational measurement	med	medical
educational models	med	medical
educational personnel	med	medical
educational psychology	med	medical
educational status	med	medical
educational technology	med	medical
edwardsiella ictaluri	med	medical
edwardsiella tarda	med	medical
ef hand motifs	med	medical
effective renal blood flow	med	medical
effective renal plasma flow	med	medical
effector caspases	med	medical
efferent neurons	med	medical
efferent pathways	med	medical
egf family of proteins	med	medical
egg hypersensitivity	med	medical
egg proteins	med	medical
egg shell	med	medical
egg white	med	medical
egg yolk	med	medical
egtazic acid	med	medical
ehrlich tumor carcinoma	med	medical
ehrlichia canis	med	medical
ehrlichia chaffeensis	med	medical
ehrlichia ruminantium	med	medical
eicosanoic acids	med	medical
eicosanoid receptors	med	medical
eicosapentaenoic acid	med	medical
eidetic imagery	med	medical
eikenella corrodens	med	medical
eimeria tenella	med	medical
eisenmenger complex	med	medical
ejaculatory ducts	med	medical
ejaculatory dysfunction	med	medical
el salvador	med	medical
elapid venoms	med	medical
elastic cartilage	med	medical
elastic modulus	med	medical
elastic tissue	med	medical
elasticity imaging techniques	med	medical
elav proteins	med	medical
elbow fractures	med	medical
elbow injuries	med	medical
elbow joint	med	medical
elbow prosthesis	med	medical
elbow tendinopathy	med	medical
elder abuse	med	medical
elder nutritional physiological phenomena	med	medical
elective surgical procedures	med	medical
electric burns	med	medical
electric capacitance	med	medical
electric conductivity	med	medical
electric countershock	med	medical
electric fish	med	medical
electric impedance	med	medical
electric injuries	med	medical
electric organ	med	medical
electric power supplies	med	medical
electric stimulation	med	medical
electric stimulation therapy	med	medical
electric wiring	med	medical
electrical equipment and supplies	med	medical
electrical synapses	med	medical
electrochemical techniques	med	medical
electroconvulsive therapy	med	medical
electroencephalography phase synchronization	med	medical
electromagnetic fields	med	medical
electromagnetic phenomena	med	medical
electromagnetic radiation	med	medical
electron microscope tomography	med	medical
electron microscopy	med	medical
electron probe microanalysis	med	medical
electron spin resonance spectroscopy	med	medical
electron transport	med	medical
electron transport complex ii	med	medical
electron transport complex iii	med	medical
electron transport complex iv	med	medical
electronic amplifiers	med	medical
electronic data processing	med	medical
electronic health records	med	medical
electronic mail	med	medical
electronic nicotine delivery systems	med	medical
electronic nose	med	medical
electronic prescribing	med	medical
electronic supplementary materials	med	medical
electronic transistors	med	medical
electronic waste	med	medical
electrophoretic mobility shift assay	med	medical
electrophysiological phenomena	med	medical
electrophysiological refractory period	med	medical
electroporation therapies	med	medical
elementary particle interactions	med	medical
elementary particles	med	medical
elevated plus maze test	med	medical
elevators and escalators	med	medical
eligibility determination	med	medical
elimination diets	med	medical
elimination disorders	med	medical
elite controllers	med	medical
ellagic acid	med	medical
emblems and insignia	med	medical
embolic protection devices	med	medical
embolic stroke	med	medical
embolism and thrombosis	med	medical
embryo culture techniques	med	medical
embryo disposition	med	medical
embryo implantation	med	medical
embryo loss	med	medical
embryo research	med	medical
embryo transfer	med	medical
embryoid bodies	med	medical
embryonal carcinoma	med	medical
embryonal carcinoma stem cells	med	medical
embryonal rhabdomyosarcoma	med	medical
embryonic and fetal development	med	medical
embryonic development	med	medical
embryonic germ cells	med	medical
embryonic induction	med	medical
embryonic organizers	med	medical
embryonic stem cells	med	medical
embryonic structures	med	medical
embryonic twinning	med	medical
emergence delirium	med	medical
emergency medical dispatch	med	medical
emergency medical dispatcher	med	medical
emergency medical services	med	medical
emergency medical tags	med	medical
emergency medical technicians	med	medical
emergency medicine	med	medical
emergency nursing	med	medical
emergency responders	med	medical
emergency room visits	med	medical
emergency shelter	med	medical
emergency treatment	med	medical
emergency use authorization	med	medical
emerging communicable diseases	med	medical
emigrants and immigrants	med	medical
emigration and immigration	med	medical
emotional abuse	med	medical
emotional adjustment	med	medical
emotional eating	med	medical
emotional exhaustion	med	medical
emotional intelligence	med	medical
emotional regulation	med	medical
emphysematous cholecystitis	med	medical
emphysematous pyelonephritis	med	medical
empirical research	med	medical
employee discipline	med	medical
employee grievances	med	medical
employee health benefit plans	med	medical
employee incentive plans	med	medical
employee performance appraisal	med	medical
employee strikes	med	medical
employer health costs	med	medical
employment forced labor	med	medical
empty sella syndrome	med	medical
emulsifying agents	med	medical
en banc	law	legal
enamel microabrasion	med	medical
enamel organ	med	medical
encephalitis viruses	med	medical
encephalitozoon cuniculi	med	medical
encephalomyelitis autoimmune experimental	med	medical
encephalomyocarditis virus	med	medical
encyclopedias as topic	med	medical
end stage liver disease	med	medical
endangered species	med	medical
endemic diseases	med	medical
endemic goiter	med	medical
endocardial cushion defects	med	medical
endocardial cushions	med	medical
endocardial fibroelastosis	med	medical
endocrine bone diseases	med	medical
endocrine cells	med	medical
endocrine diagnostic techniques	med	medical
endocrine disruptors	med	medical
endocrine gland neoplasms	med	medical
endocrine glands	med	medical
endocrine surgical procedures	med	medical
endocrine system	med	medical
endocrine system diseases	med	medical
endocrine tuberculosis	med	medical
endodermal sinus tumor	med	medical
endogenous retroviruses	med	medical
endolymphatic duct	med	medical
endolymphatic hydrops	med	medical
endolymphatic sac	med	medical
endolymphatic shunt	med	medical
endometrial ablation techniques	med	medical
endometrial hyperplasia	med	medical
endometrial neoplasms	med	medical
endometrial stromal sarcoma	med	medical
endometrial stromal tumors	med	medical
endometrioid carcinoma	med	medical
endomyocardial fibrosis	med	medical
endopeptidase clp	med	medical
endoplasmic reticulum	med	medical
endoplasmic reticulum chaperone bip	med	medical
endoplasmic reticulum stress	med	medical
endoscopic hemostasis	med	medical
endoscopic mucosal resection	med	medical
endoscopic retrograde cholangiopancreatography	med	medical
endoscopic sphincterotomy	med	medical
endosseous dental implantation	med	medical
endothelial cells	med	medical
endothelial growth factors	med	medical
endothelial progenitor cells	med	medical
endothelin receptor antagonists	med	medical
endothelin receptors	med	medical
endotoxin tolerance	med	medical
endotracheal anesthesia	med	medical
endovascular aneurysm repair	med	medical
endovascular procedures	med	medical
endpoint determination	med	medical
endurance training	med	medical
energy drinks	med	medical
energy intake	med	medical
energy metabolism	med	medical
energy transfer	med	medical
english abstract	med	medical
engraving and engravings	med	medical
enhanced recovery after surgery	med	medical
enhancer rnas	med	medical
enoplida infections	med	medical
ensemble learning	med	medical
enslaved persons	med	medical
entamoeba histolytica	med	medical
enteral nutrition	med	medical
enteric nervous system	med	medical
enteritis transmissible of turkeys	med	medical
enterobacter aerogenes	med	medical
enterobacter cloacae	med	medical
enterobacteriaceae infections	med	medical
enterochromaffin cells	med	medical
enterococcus faecalis	med	medical
enterococcus faecium	med	medical
enterococcus hirae	med	medical
enteroendocrine cells	med	medical
enterohemorrhagic escherichia coli	med	medical
enterohepatic circulation	med	medical
enteropathogenic escherichia coli	med	medical
enterotoxigenic escherichia coli	med	medical
enterotoxin receptors	med	medical
enterovirus infections	med	medical
entopeduncular nucleus	med	medical
entoptic vision	med	medical
entorhinal cortex	med	medical
env gene products	med	medical
env genes	med	medical
environment and public health	med	medical
environment design	med	medical
environmental biodegradation	med	medical
environmental biomarkers	med	medical
environmental carcinogens	med	medical
environmental dna	med	medical
environmental exposure	med	medical
environmental health	med	medical
environmental illness	med	medical
environmental indicators	med	medical
environmental justice	med	medical
environmental medicine	med	medical
environmental microbiology	med	medical
environmental monitoring	med	medical
environmental policy	med	medical
environmental pollutants	med	medical
environmental pollution	med	medical
environmental psychology	med	medical
environmental restoration and remediation	med	medical
environmental science	med	medical
enzootic bovine leukosis	med	medical
enzootic pneumonia of calves	med	medical
enzootic porcine encephalomyelitis	med	medical
enzyme activation	med	medical
enzyme activators	med	medical
enzyme assays	med	medical
enzyme induction	med	medical
enzyme inhibitors	med	medical
enzyme multiplied immunoassay technique	med	medical
enzyme precursors	med	medical
enzyme reactivators	med	medical
enzyme replacement therapy	med	medical
enzyme repression	med	medical
enzyme stability	med	medical
enzyme therapy	med	medical
enzymes and coenzymes	med	medical
enzymologic gene expression regulation	med	medical
eosinophil cationic protein	med	medical
eosinophil chemotactic factors	med	medical
eosinophil granule proteins	med	medical
eosinophil major basic protein	med	medical
eosinophil peroxidase	med	medical
eosinophilic esophagitis	med	medical
eosinophilic granuloma	med	medical
ependymoglial cells	med	medical
eph family receptors	med	medical
ephedra sinica	med	medical
ephemeral fever	med	medical
epicardial adipose tissue	med	medical
epicardial mapping	med	medical
epidemic pleurodynia	med	medical
epidemiologic confounding factors	med	medical
epidemiologic effect modifier	med	medical
epidemiologic factors	med	medical
epidemiologic measurements	med	medical
epidemiologic methods	med	medical
epidemiologic research design	med	medical
epidemiologic studies	med	medical
epidemiologic study characteristics	med	medical
epidemiological models	med	medical
epidemiological monitoring	med	medical
epidermal cells	med	medical
epidermal cyst	med	medical
epidermal growth factor	med	medical
epidermitis exudative of swine	med	medical
epidermodysplasia verruciformis	med	medical
epidermolysis bullosa	med	medical
epidermolysis bullosa acquisita	med	medical
epidermolysis bullosa dystrophica	med	medical
epidermolysis bullosa simplex	med	medical
epidermolytic hyperkeratosis	med	medical
epididymal secretory proteins	med	medical
epidural abscess	med	medical
epidural analgesia	med	medical
epidural anesthesia	med	medical
epidural blood patch	med	medical
epidural injections	med	medical
epidural neoplasms	med	medical
epidural space	med	medical
epigastric arteries	med	medical
epigenetic memory	med	medical
epigenetic repression	med	medical
epigenome editing	med	medical
epilepsia partialis continua	med	medical
epilepsy partial motor	med	medical
epilepsy partial sensory	med	medical
epileptic syndromes	med	medical
epiretinal membrane	med	medical
episode of care	med	medical
episodic memory	med	medical
epithelial attachment	med	medical
epithelial cell adhesion molecule	med	medical
epithelial cells	med	medical
epithelial sodium channel agonists	med	medical
epithelial sodium channel blockers	med	medical
epithelial sodium channels	med	medical
epithelioid cells	med	medical
epithelioid hemangioendothelioma	med	medical
epithelioid leiomyoma	med	medical
epitope mapping	med	medical
epizootic hemorrhagic disease virus	med	medical
epoetin alfa	med	medical
epoprostenol receptors	med	medical
epoxide hydrolases	med	medical
epoxy compounds	med	medical
epoxy resins	med	medical
equatorial guinea	med	medical
equilibrative nucleoside transport proteins	med	medical
equine encephalomyelitis	med	medical
equine gonadotropins	med	medical
equine infectious anemia	med	medical
equine infectious anemia virus	med	medical
equine lentiviruses	med	medical
equine strongyle infections	med	medical
equinus deformity	med	medical
equipment and supplies	med	medical
equipment and supplies utilization	med	medical
equipment contamination	med	medical
equipment design	med	medical
equipment failure	med	medical
equipment failure analysis	med	medical
equipment reuse	med	medical
equipment safety	med	medical
equivalence trial	med	medical
equivalence trials as topic	med	medical
erba genes	med	medical
erbb genes	med	medical
erbb receptors	med	medical
erectile dysfunction	med	medical
eremophila plant	med	medical
ergoloid mesylates	med	medical
ergot alkaloids	med	medical
erlotinib hydrochloride	med	medical
erucic acids	med	medical
erwinia amylovora	med	medical
erysipelothrix infections	med	medical
erythema ab igne	med	medical
erythema chronicum migrans	med	medical
erythema induratum	med	medical
erythema infectiosum	med	medical
erythema multiforme	med	medical
erythema nodosum	med	medical
erythrityl tetranitrate	med	medical
erythrocebus patas	med	medical
erythrocyte aggregation	med	medical
erythrocyte aging	med	medical
erythrocyte count	med	medical
erythrocyte deformability	med	medical
erythrocyte inclusions	med	medical
erythrocyte indices	med	medical
erythrocyte membrane	med	medical
erythrocyte transfusion	med	medical
erythrocyte volume	med	medical
erythroid cells	med	medical
erythroid precursor cells	med	medical
erythrokeratodermia variabilis	med	medical
erythromycin estolate	med	medical
erythromycin ethylsuccinate	med	medical
erythropoietic porphyria	med	medical
erythropoietic protoporphyria	med	medical
erythropoietin receptors	med	medical
escape reaction	med	medical
escherichia coli	med	medical
escherichia coli adhesins	med	medical
escherichia coli infections	med	medical
escherichia coli meningitis	med	medical
escherichia coli proteins	med	medical
escherichia coli vaccines	med	medical
esophageal achalasia	med	medical
esophageal and gastric varices	med	medical
esophageal atresia	med	medical
esophageal cyst	med	medical
esophageal diseases	med	medical
esophageal diverticulosis	med	medical
esophageal diverticulum	med	medical
esophageal fistula	med	medical
esophageal motility disorders	med	medical
esophageal mucosa	med	medical
esophageal neoplasms	med	medical
esophageal perforation	med	medical
esophageal ph monitoring	med	medical
esophageal speech	med	medical
esophageal squamous cell carcinoma	med	medical
esophageal stenosis	med	medical
esophagogastric junction	med	medical
essential amino acids	med	medical
essential drugs	med	medical
essential fatty acids	med	medical
essential genes	med	medical
essential hypertension	med	medical
essential osteolysis	med	medical
essential thrombocythemia	med	medical
essential tremor	med	medical
estradiol congeners	med	medical
estradiol dehydrogenases	med	medical
estradiol receptors	med	medical
estrogen antagonists	med	medical
estrogen receptor alpha	med	medical
estrogen receptor antagonists	med	medical
estrogen receptor beta	med	medical
estrogen receptor modulators	med	medical
estrogen receptors	med	medical
estrogen replacement therapy	med	medical
estrous cycle	med	medical
estrus detection	med	medical
estrus synchronization	med	medical
et al	-	latin
et alia	-	latin
et cetera	-	latin
ethacrynic acid	med	medical
ethane chlorofluorocarbons	med	medical
ethenoadenosine triphosphate	med	medical
ethical analysis	med	medical
ethical dilemmas	med	medical
ethical relativism	med	medical
ethical review	med	medical
ethical theory	med	medical
ethics committees	med	medical
ethics consultation	med	medical
ethinyl estradiol	med	medical
ethiodized oil	med	medical
ethmoid bone	med	medical
ethmoid sinus	med	medical
ethmoid sinusitis	med	medical
ethnic and racial minorities	med	medical
ethnic cleansing	med	medical
ethnic violence	med	medical
ethyl biscoumacetate	med	medical
ethyl chloride	med	medical
ethyl ethers	med	medical
ethyl methanesulfonate	med	medical
ethyldimethylaminopropyl carbodiimide	med	medical
ethylene chlorohydrin	med	medical
ethylene dibromide	med	medical
ethylene dichlorides	med	medical
ethylene glycol	med	medical
ethylene glycols	med	medical
ethylene oxide	med	medical
ethylmercuric chloride	med	medical
ethylmercury compounds	med	medical
ethynodiol diacetate	med	medical
etidronic acid	med	medical
ets motif	med	medical
eucalyptus oil	med	medical
eudesmane sesquiterpenes	med	medical
eugenic abortion	med	medical
euglena gracilis	med	medical
euglena longa	med	medical
euglenozoa infections	med	medical
eukaryotic cells	med	medical
eukaryotic initiation factors	med	medical
european alpine region	med	medical
european people	med	medical
european union	med	medical
eustachian tube	med	medical
euthanasia active voluntary	med	medical
euthyroid sick syndromes	med	medical
evaluation studies as topic	med	medical
evaluation study	med	medical
evans blue	med	medical
evidence gaps	med	medical
evoked potentials	med	medical
evoked response audiometry	med	medical
ewing sarcoma	med	medical
ex ante	-	latin
ex gratia	-	latin
ex officio	-	latin
ex parte	law	legal
ex post	-	latin
ex post facto	-	latin
examination questions	med	medical
examination tables	med	medical
exanthema subitum	med	medical
exceptional child	med	medical
excimer lasers	med	medical
excision repair	med	medical
excitation contraction coupling	med	medical
excitatory amino acid agents	med	medical
excitatory amino acid agonists	med	medical
excitatory amino acid antagonists	med	medical
excitatory amino acids	med	medical
excitatory postsynaptic potentials	med	medical
exclusionary rule	law	legal
excoriation disorder	med	medical
exculpatory evidence	law	legal
executive function	med	medical
executory contracts	law	legal
exempt assets	law	legal
exercise movement techniques	med	medical
exercise test	med	medical
exercise therapy	med	medical
exercise tolerance	med	medical
exfoliation syndrome	med	medical
exfoliative dermatitis	med	medical
exhibitions as topic	med	medical
exocrine glands	med	medical
exocrine pancreas	med	medical
exocrine pancreatic insufficiency	med	medical
exome sequencing	med	medical
exoskeleton device	med	medical
exosome multienzyme ribonuclease complex	med	medical
exostosin glycosyltransferase family	med	medical
exotic animals	med	medical
experimental arthritis	med	medical
experimental diabetes mellitus	med	medical
experimental games	med	medical
experimental implants	med	medical
experimental leukemia	med	medical
experimental liver cirrhosis	med	medical
experimental liver neoplasms	med	medical
experimental mammary neoplasms	med	medical
experimental melanoma	med	medical
experimental neoplasms	med	medical
experimental psychology	med	medical
experimental radiation injuries	med	medical
experimental sarcoma	med	medical
expert systems	med	medical
expert testimony	med	medical
expiratory reserve volume	med	medical
exploratory behavior	med	medical
explosive agents	med	medical
explosive decompression	med	medical
exposure to violence	med	medical
expressed emotion	med	medical
expressed sequence tags	med	medical
expression of concern	med	medical
extended family	med	medical
extended radical mastectomy	med	medical
external capsule	med	medical
external carotid artery	med	medical
external debt	med	medical
external ear	med	medical
external fixators	med	medical
extracellular fluid	med	medical
extracellular matrix	med	medical
extracellular matrix proteins	med	medical
extracellular polymeric substance matrix	med	medical
extracellular space	med	medical
extracellular traps	med	medical
extracellular vesicles	med	medical
extrachromosomal inheritance	med	medical
extracorporeal circulation	med	medical
extracorporeal membrane oxygenation	med	medical
extracorporeal shockwave therapy	med	medical
extraction and processing industry	med	medical
extraembryonic membranes	med	medical
extrahepatic bile ducts	med	medical
extrahepatic cholestasis	med	medical
extraintestinal pathogenic escherichia coli	med	medical
extramammary paget disease	med	medical
extramarital relations	med	medical
extramedullary hematopoiesis	med	medical
extranodal extension	med	medical
extraoral traction appliances	med	medical
extrapulmonary tuberculosis	med	medical
extrapyramidal tracts	med	medical
extraterrestrial environment	med	medical
extravascular lung water	med	medical
extravehicular activity	med	medical
extravillous trophoblasts	med	medical
extreme cold	med	medical
extreme environments	med	medical
extreme heat	med	medical
extreme learning machines	med	medical
extreme weather	med	medical
extremely premature infant	med	medical
extrinsic allergic alveolitis	med	medical
exudates and transudates	med	medical
eye abnormalities	med	medical
eye axial length	med	medical
eye banks	med	medical
eye burns	med	medical
eye color	med	medical
eye diseases	med	medical
eye enucleation	med	medical
eye evisceration	med	medical
eye foreign bodies	med	medical
eye hemorrhage	med	medical
eye infections	med	medical
eye injuries	med	medical
eye manifestations	med	medical
eye movement desensitization reprocessing	med	medical
eye movement measurements	med	medical
eye movements	med	medical
eye neoplasms	med	medical
eye pain	med	medical
eye protective devices	med	medical
eye proteins	med	medical
eyelid conditioning	med	medical
eyelid diseases	med	medical
eyelid neoplasms	med	medical
fabry disease	med	medical
facial asymmetry	med	medical
facial bones	med	medical
facial dermatoses	med	medical
facial expression	med	medical
facial hemiatrophy	med	medical
facial injuries	med	medical
facial muscles	med	medical
facial neoplasms	med	medical
facial nerve	med	medical
facial nerve diseases	med	medical
facial nerve injuries	med	medical
facial neuralgia	med	medical
facial nucleus	med	medical
facial pain	med	medical
facial paralysis	med	medical
facial recognition	med	medical
facial transplantation	med	medical
facilitated diffusion	med	medical
facilitated tucking	med	medical
facilitative glucose transport proteins	med	medical
facilities and services utilization	med	medical
facility design and construction	med	medical
facility regulation and control	med	medical
facioscapulohumeral muscular dystrophy	med	medical
factitious disorders	med	medical
factor ix	med	medical
factor ixa	med	medical
factor va	med	medical
factor vii	med	medical
factor vii deficiency	med	medical
factor viia	med	medical
factor viii	med	medical
factor viiia	med	medical
factor xa	med	medical
factor xa inhibitors	med	medical
factor xi	med	medical
factor xi deficiency	med	medical
factor xia	med	medical
factor xii	med	medical
factor xii deficiency	med	medical
factor xiia	med	medical
factor xiii	med	medical
factor xiii deficiency	med	medical
factor xiiia	med	medical
factual databases	med	medical
faecalibacterium prausnitzii	med	medical
failed back surgery syndrome	med	medical
failure to thrive	med	medical
faith healing	med	medical
falciparum malaria	med	medical
falkland islands	med	medical
fallopia japonica	med	medical
fallopia multiflora	med	medical
fallopian tube diseases	med	medical
fallopian tube neoplasms	med	medical
fallopian tube patency tests	med	medical
fallopian tubes	med	medical
false aneurysm	med	medical
false negative reactions	med	medical
false positive reactions	med	medical
familial amyloid neuropathies	med	medical
familial amyloidosis	med	medical
familial cerebral amyloid angiopathy	med	medical
familial combined hyperlipidemia	med	medical
familial dysalbuminemic hyperthyroxinemia	med	medical
familial dysautonomia	med	medical
familial exudative vitreoretinopathies	med	medical
familial hypoadrenocorticism	med	medical
familial hypophosphatemia	med	medical
familial hypophosphatemic rickets	med	medical
familial mediterranean fever	med	medical
familial multiple lipomatosis	med	medical
familial partial lipodystrophy	med	medical
familial periodic paralyses	med	medical
familial primary pulmonary hypertension	med	medical
family characteristics	med	medical
family conflict	med	medical
family farmer	law	legal
family health	med	medical
family leave	med	medical
family nurse practitioners	med	medical
family nursing	med	medical
family physicians	med	medical
family planning policy	med	medical
family planning services	med	medical
family practice	med	medical
family relations	med	medical
family separation	med	medical
family structure	med	medical
family support	med	medical
family therapy	med	medical
famous persons	med	medical
fanconi anemia	med	medical
fanconi syndrome	med	medical
farber lipogranulomatosis	med	medical
farmer's lung	med	medical
fas ligand protein	med	medical
fas receptor	med	medical
fascia lata	med	medical
fasciola hepatica	med	medical
fast foods	med	medical
fast neutrons	med	medical
fat body	med	medical
fat embolism	med	medical
fat necrosis	med	medical
fat substitutes	med	medical
fatal familial insomnia	med	medical
fatal outcome	med	medical
fatty acid desaturases	med	medical
fatty acid elongases	med	medical
fatty acid synthases	med	medical
fatty acid synthesis inhibitors	med	medical
fatty acid transport proteins	med	medical
fatty acids	med	medical
fatty alcohols	med	medical
fatty liver	med	medical
fc receptors	med	medical
feasibility studies	med	medical
febrile neutropenia	med	medical
febrile seizures	med	medical
fecal impaction	med	medical
fecal incontinence	med	medical
fecal microbiota transplantation	med	medical
federal government	med	medical
federal hospitals	med	medical
federal public defender	law	legal
federal public defender organization	law	legal
federal question jurisdiction	law	legal
federated learning	med	medical
fee schedules	med	medical
feeder cells	med	medical
feedforward neural networks	med	medical
feeding and eating disorders	med	medical
feeding behavior	med	medical
feeding methods	med	medical
fees and charges	med	medical
feline acquired immunodeficiency syndrome	med	medical
feline calicivirus	med	medical
feline coronavirus	med	medical
feline immunodeficiency virus	med	medical
feline infectious peritonitis	med	medical
feline lentiviruses	med	medical
feline leukemia	med	medical
feline leukemia virus	med	medical
feline panleukopenia	med	medical
feline panleukopenia virus	med	medical
feline sarcoma viruses	med	medical
fellowships and scholarships	med	medical
felty syndrome	med	medical
female athlete triad syndrome	med	medical
female circumcision	med	medical
female contraceptive agents	med	medical
female contraceptive devices	med	medical
female fertility agents	med	medical
female genital diseases	med	medical
female genital neoplasms	med	medical
female genital tuberculosis	med	medical
female genitalia	med	medical
female homosexuality	med	medical
female infertility	med	medical
female urogenital diseases	med	medical
feminine hygiene products	med	medical
femoracetabular impingement	med	medical
femoral artery	med	medical
femoral fractures	med	medical
femoral hernia	med	medical
femoral neck fractures	med	medical
femoral neoplasms	med	medical
femoral nerve	med	medical
femoral neuropathy	med	medical
femoral vein	med	medical
femur head	med	medical
femur head necrosis	med	medical
femur neck	med	medical
ferm domains	med	medical
fermented beverages	med	medical
fermented foods	med	medical
ferric compounds	med	medical
ferrosoferric oxide	med	medical
ferrous compounds	med	medical
fertile period	med	medical
fertility agents	med	medical
fertility clinics	med	medical
fertility preservation	med	medical
fertilization in vitro	med	medical
fetal alcohol spectrum disorders	med	medical
fetal blood	med	medical
fetal death	med	medical
fetal development	med	medical
fetal diseases	med	medical
fetal distress	med	medical
fetal erythroblastosis	med	medical
fetal globulins	med	medical
fetal growth retardation	med	medical
fetal heart	med	medical
fetal heart rate	med	medical
fetal hemoglobin	med	medical
fetal hypoxia	med	medical
fetal macrosomia	med	medical
fetal monitoring	med	medical
fetal mortality	med	medical
fetal movement	med	medical
fetal nutrition disorders	med	medical
fetal organ maturity	med	medical
fetal proteins	med	medical
fetal research	med	medical
fetal resorption	med	medical
fetal stem cells	med	medical
fetal therapies	med	medical
fetal tissue transplantation	med	medical
fetal version	med	medical
fetal viability	med	medical
fetal weight	med	medical
fetofetal transfusion	med	medical
